,player_id,position,Player Age,Player Height (cm),Matches Played,Average Minutes per Match,Average Goals per Match,Average Assists per Match,Average Shots per Match,Average Pass Success Rate (%),Average Aerial Duels Won per Match,Average Yellow Cards per Match,Average Red Cards per Match,Average Man of the Match per Match
1360,2023,Defender,30,180,238,72.24,0.05,0.03,0.5,82.5,2.0,0.17,0.01,0.04
1466,2162,Midfielder,29,172,107,59.61,0.06,0.06,1.2,81.9,0.5,0.06,0.0,0.0
665,975,Goalkeeper,29,191,293,89.08,0.0,0.01,0.0,71.3,0.3,0.04,0.01,0.04
3750,5295,Midfielder,28,181,169,80.11,0.02,0.02,0.8,86.6,0.4,0.16,0.0,0.01
1047,1546,Midfielder,29,189,143,53.78,0.04,0.02,0.8,75.0,0.8,0.21,0.0,0.01
1633,2377,Midfielder,23,169,81,47.74,0.05,0.09,1.3,78.3,0.2,0.19,0.01,0.05
3635,5147,Defender,29,182,192,73.4,0.01,0.01,0.2,92.0,1.4,0.2,0.03,0.01
2652,3814,Midfielder,24,177,71,46.23,0.06,0.06,1.3,78.6,0.2,0.07,0.0,0.03
2922,4190,Midfielder,25,183,160,69.99,0.09,0.1,1.0,84.0,0.4,0.16,0.0,0.09
2294,3316,Midfielder,25,179,79,54.66,0.15,0.09,1.3,80.5,0.3,0.14,0.01,0.04
1703,2475,Forward,26,194,149,54.41,0.28,0.03,1.7,63.3,2.0,0.08,0.0,0.07
873,1273,Defender,23,193,146,77.03,0.05,0.02,0.4,79.4,2.4,0.09,0.02,0.03
714,1047,Midfielder,24,181,189,71.19,0.05,0.12,0.8,81.6,0.3,0.2,0.01,0.04
2345,3383,Goalkeeper,33,192,110,89.25,0.0,0.0,0.0,68.9,0.3,0.08,0.0,0.05
646,943,Defender,33,187,123,87.88,0.07,0.04,0.7,84.0,3.0,0.25,0.02,0.03
1947,2850,Midfielder,29,182,119,46.41,0.08,0.13,1.0,76.2,0.5,0.07,0.0,0.02
3418,4843,Midfielder,25,174,185,75.88,0.17,0.18,2.0,76.4,0.4,0.14,0.01,0.1
2625,3780,Midfielder,23,182,72,49.5,0.07,0.0,0.8,84.5,1.0,0.14,0.01,0.01
1438,2117,Goalkeeper,27,190,176,89.6,0.0,0.01,0.0,66.7,0.3,0.05,0.0,0.05
1880,2753,Midfielder,26,175,203,57.08,0.11,0.05,1.1,81.0,0.3,0.08,0.01,0.01
2970,4253,Midfielder,27,175,109,56.24,0.06,0.11,1.1,82.6,0.2,0.08,0.0,0.03
3535,5000,Midfielder,24,177,102,54.5,0.04,0.04,0.5,87.1,0.4,0.07,0.02,0.03
1631,2374,Defender,28,184,86,89.59,0.03,0.01,0.5,80.5,2.5,0.13,0.01,0.01
3727,5262,Goalkeeper,27,192,53,88.85,0.0,0.0,0.0,55.7,0.4,0.09,0.0,0.04
1900,2780,Forward,31,185,313,48.89,0.34,0.07,2.0,75.0,0.7,0.11,0.0,0.04
638,934,Midfielder,19,181,82,45.45,0.1,0.07,1.2,81.3,0.2,0.13,0.0,0.06
1746,2551,Defender,33,188,338,87.69,0.03,0.03,0.5,77.3,1.8,0.22,0.0,0.02
626,901,Goalkeeper,32,188,132,88.55,0.0,0.0,0.0,65.9,0.3,0.05,0.0,0.08
2774,3981,Defender,22,187,53,57.17,0.04,0.04,0.5,85.0,1.7,0.11,0.02,0.0
2366,3417,Midfielder,26,180,99,70.84,0.1,0.05,0.9,86.8,0.9,0.1,0.0,0.01
3320,4707,Defender,32,190,353,85.23,0.06,0.03,0.3,82.9,2.5,0.08,0.0,0.02
332,476,Forward,26,191,146,46.4,0.12,0.05,1.2,77.4,1.2,0.12,0.0,0.01
14,22,Defender,35,191,533,82.28,0.07,0.04,0.8,84.4,2.8,0.13,0.01,0.05
3711,5243,Midfielder,34,178,120,69.2,0.05,0.06,0.8,78.0,0.5,0.15,0.0,0.02
339,483,Defender,25,185,56,57.34,0.0,0.0,0.1,85.2,0.8,0.09,0.0,0.0
1182,1743,Midfielder,31,187,267,82.2,0.13,0.1,1.2,73.1,3.1,0.21,0.0,0.05
490,716,Midfielder,31,175,98,70.46,0.01,0.04,0.3,84.1,0.7,0.26,0.0,0.0
3864,5446,Defender,33,193,233,88.62,0.04,0.03,0.4,71.1,3.4,0.1,0.01,0.02
2762,3962,Midfielder,26,178,97,36.42,0.07,0.03,0.8,83.6,0.2,0.02,0.0,0.03
1592,2315,Midfielder,28,171,90,43.2,0.07,0.06,0.6,75.3,0.3,0.08,0.0,0.01
1217,1801,Defender,31,187,163,80.97,0.09,0.04,0.8,86.7,2.3,0.23,0.02,0.07
487,709,Defender,29,182,206,83.71,0.01,0.01,0.4,80.3,2.6,0.19,0.01,0.03
1480,2181,Midfielder,26,178,68,63.43,0.12,0.07,1.0,76.8,0.2,0.16,0.01,0.01
1537,2246,Defender,33,190,165,86.01,0.04,0.01,0.6,65.0,2.8,0.21,0.02,0.02
2325,3357,Midfielder,27,183,143,76.2,0.03,0.06,0.5,78.1,1.1,0.17,0.0,0.01
278,403,Midfielder,27,177,271,53.3,0.13,0.11,1.8,67.3,0.4,0.12,0.01,0.04
1579,2302,Defender,24,190,79,72.52,0.05,0.01,0.5,77.6,2.1,0.19,0.03,0.03
3484,4931,Forward,34,169,117,74.13,0.52,0.08,3.1,83.9,0.7,0.09,0.0,0.13
1006,1489,Midfielder,23,176,121,66.43,0.03,0.02,0.6,85.0,0.5,0.31,0.0,0.02
1741,2545,Midfielder,32,180,435,74.06,0.09,0.06,0.4,89.2,0.5,0.17,0.0,0.04
2770,3974,Forward,30,189,67,49.06,0.37,0.06,2.0,72.0,0.9,0.13,0.0,0.06
2118,3079,Midfielder,29,182,322,69.61,0.16,0.15,1.5,82.8,0.6,0.13,0.0,0.08
1978,2896,Defender,26,188,133,86.69,0.11,0.09,1.4,85.3,1.3,0.08,0.0,0.07
1016,1504,Midfielder,21,175,78,55.67,0.1,0.09,1.1,73.5,0.3,0.09,0.01,0.05
282,408,Defender,27,189,102,80.24,0.02,0.03,0.3,84.2,0.9,0.27,0.08,0.03
3274,4652,Midfielder,24,175,120,62.62,0.07,0.07,0.8,75.6,1.2,0.14,0.0,0.04
983,1458,Defender,24,185,122,69.71,0.06,0.1,0.6,78.8,1.0,0.18,0.01,0.03
437,632,Defender,29,192,201,83.33,0.03,0.01,0.3,79.4,1.7,0.24,0.03,0.01
1287,1898,Midfielder,24,174,188,64.97,0.18,0.14,2.3,81.0,0.4,0.13,0.01,0.08
1373,2040,Defender,28,176,141,71.1,0.03,0.09,0.2,88.7,0.2,0.09,0.02,0.01
3225,4595,Defender,27,187,61,80.11,0.03,0.02,0.4,80.8,1.8,0.13,0.0,0.05
2513,3617,Defender,34,185,204,73.52,0.06,0.01,0.4,83.6,2.8,0.14,0.01,0.02
790,1139,Defender,33,188,182,79.12,0.04,0.02,0.3,85.8,1.7,0.28,0.02,0.02
635,927,Defender,23,188,93,87.47,0.0,0.04,0.2,86.0,1.6,0.13,0.0,0.03
1848,2716,Forward,32,197,395,75.52,0.37,0.13,2.1,69.6,2.6,0.14,0.0,0.08
557,817,Midfielder,25,179,122,55.91,0.09,0.06,1.1,79.9,0.3,0.15,0.02,0.03
2173,3161,Defender,30,191,98,81.73,0.06,0.02,0.6,82.6,2.6,0.24,0.03,0.01
1922,2811,Midfielder,27,168,66,38.0,0.03,0.03,0.7,82.2,0.4,0.12,0.02,0.0
40,56,Midfielder,22,188,88,47.91,0.12,0.09,0.9,66.9,0.4,0.1,0.01,0.01
3537,5004,Midfielder,30,180,213,72.15,0.29,0.15,2.5,79.0,0.6,0.08,0.01,0.12
1277,1886,Goalkeeper,28,190,301,90.25,0.0,0.0,0.0,73.6,0.2,0.09,0.0,0.03
2802,4023,Midfielder,27,170,64,52.81,0.2,0.11,1.8,80.2,0.1,0.06,0.0,0.03
383,540,Forward,23,186,91,65.11,0.36,0.13,1.8,77.2,0.8,0.21,0.01,0.09
839,1222,Forward,34,198,137,59.32,0.17,0.08,1.3,56.0,6.1,0.13,0.0,0.08
1049,1548,Forward,34,178,159,57.14,0.23,0.04,1.9,70.8,1.5,0.13,0.01,0.03
1664,2421,Midfielder,36,182,144,64.31,0.03,0.05,0.6,74.3,0.8,0.19,0.0,0.01
936,1379,Goalkeeper,38,193,591,89.96,0.0,0.0,0.0,79.2,0.1,0.03,0.0,0.01
1107,1637,Goalkeeper,27,187,82,88.45,0.0,0.01,0.0,74.4,0.2,0.0,0.01,0.11
1972,2889,Defender,26,191,205,87.23,0.04,0.01,0.4,79.3,2.5,0.13,0.01,0.01
1959,2869,Midfielder,25,187,119,76.09,0.03,0.02,0.4,80.8,2.3,0.23,0.02,0.04
3589,5075,Midfielder,20,167,91,44.81,0.12,0.12,1.7,73.5,0.2,0.09,0.0,0.04
1488,2192,Midfielder,29,180,103,72.72,0.09,0.17,1.5,77.4,0.8,0.27,0.02,0.06
3,7,Goalkeeper,25,189,58,89.02,0.0,0.0,0.0,74.3,0.3,0.09,0.0,0.09
2553,3679,Forward,25,190,61,29.43,0.08,0.03,0.7,61.3,1.5,0.02,0.02,0.02
2913,4175,Goalkeeper,26,187,147,89.23,0.0,0.0,0.0,71.1,0.2,0.06,0.0,0.04
888,1307,Goalkeeper,29,187,84,87.54,0.0,0.0,0.0,72.6,0.3,0.08,0.0,0.01
630,914,Midfielder,25,179,78,56.08,0.05,0.05,0.7,79.0,0.8,0.09,0.03,0.01
5,10,Midfielder,24,170,145,64.01,0.05,0.12,0.9,84.2,0.4,0.11,0.0,0.06
427,618,Goalkeeper,31,192,261,89.75,0.0,0.0,0.0,48.4,0.2,0.06,0.0,0.07
2405,3475,Defender,27,190,99,73.92,0.02,0.03,0.7,82.1,4.1,0.15,0.0,0.04
1004,1486,Forward,24,193,161,67.13,0.28,0.11,1.7,65.4,2.2,0.1,0.0,0.06
444,644,Goalkeeper,33,193,305,89.7,0.0,0.01,0.0,65.5,0.2,0.05,0.01,0.04
68,95,Midfielder,17,180,74,65.26,0.16,0.27,2.1,83.1,0.1,0.11,0.0,0.09
998,1476,Midfielder,24,191,53,51.98,0.04,0.04,0.9,67.5,1.9,0.21,0.0,0.04
462,672,Midfielder,25,188,192,59.61,0.01,0.03,0.2,87.0,0.8,0.17,0.01,0.0
1588,2311,Goalkeeper,29,189,59,88.27,0.0,0.0,0.0,63.9,0.4,0.12,0.0,0.02
1911,2794,Defender,22,186,63,79.0,0.03,0.0,0.4,78.3,2.1,0.13,0.0,0.03
276,400,Forward,26,178,79,40.54,0.09,0.05,0.9,79.1,0.3,0.06,0.0,0.01
2023,2947,Midfielder,24,178,116,79.66,0.34,0.16,2.3,79.7,0.4,0.2,0.0,0.14
3326,4716,Midfielder,24,190,90,71.54,0.03,0.02,0.4,82.1,1.1,0.18,0.0,0.0
2923,4191,Forward,34,185,468,72.64,0.53,0.13,2.8,74.8,0.7,0.15,0.01,0.12
1714,2493,Midfielder,23,170,116,62.12,0.01,0.03,0.6,88.7,0.5,0.1,0.01,0.01
1453,2138,Defender,26,193,148,87.48,0.03,0.01,0.3,84.2,2.1,0.16,0.0,0.01
846,1230,Midfielder,23,188,68,32.87,0.12,0.01,0.9,78.6,0.5,0.12,0.0,0.0
1476,2176,Defender,31,186,86,86.37,0.05,0.01,0.5,79.8,2.3,0.15,0.0,0.05
2424,3505,Defender,29,185,62,59.61,0.02,0.02,0.2,84.1,2.3,0.1,0.02,0.02
2538,3653,Midfielder,32,177,196,58.06,0.11,0.16,1.3,75.0,0.4,0.07,0.0,0.06
1941,2842,Midfielder,23,178,125,58.42,0.24,0.06,1.5,81.6,0.1,0.13,0.02,0.08
3462,4905,Midfielder,34,175,323,67.3,0.07,0.08,1.1,81.4,0.3,0.18,0.0,0.01
1063,1570,Defender,22,187,85,73.55,0.01,0.0,0.3,82.1,1.3,0.19,0.04,0.04
3344,4738,Midfielder,28,175,171,63.06,0.06,0.02,0.8,85.9,0.5,0.1,0.01,0.01
3801,5357,Midfielder,29,183,96,61.81,0.1,0.05,0.9,73.7,1.4,0.25,0.01,0.02
1202,1773,Defender,32,180,108,74.08,0.0,0.01,0.1,79.3,0.9,0.18,0.0,0.0
834,1207,Midfielder,24,182,221,72.92,0.12,0.1,1.2,84.1,0.6,0.24,0.01,0.05
3534,4997,Midfielder,35,185,142,79.89,0.32,0.23,2.7,78.9,1.0,0.09,0.01,0.15
715,1048,Defender,21,182,77,65.19,0.03,0.03,0.2,82.1,0.7,0.04,0.0,0.01
2671,3839,Defender,27,189,145,79.25,0.01,0.03,0.5,80.1,2.2,0.29,0.03,0.02
1694,2459,Midfielder,24,183,224,81.22,0.09,0.13,1.3,78.1,0.5,0.08,0.0,0.07
3084,4410,Defender,27,187,166,76.95,0.05,0.01,0.6,79.8,1.8,0.25,0.01,0.01
613,886,Defender,27,189,135,82.62,0.03,0.02,0.3,79.6,3.2,0.16,0.0,0.0
3337,4727,Midfielder,26,190,86,70.33,0.07,0.03,0.9,77.9,1.9,0.14,0.01,0.05
841,1224,Defender,32,183,266,80.08,0.04,0.02,0.4,82.6,1.8,0.21,0.02,0.06
3851,5428,Defender,27,191,216,86.62,0.06,0.03,0.4,86.9,1.4,0.13,0.0,0.01
627,904,Defender,26,190,186,87.31,0.06,0.02,0.6,83.2,2.6,0.06,0.02,0.04
523,768,Midfielder,26,179,149,64.23,0.06,0.1,0.8,73.9,0.4,0.22,0.0,0.03
1247,1841,Midfielder,23,175,206,74.07,0.18,0.19,2.0,84.5,0.3,0.17,0.0,0.06
2022,2946,Forward,31,188,293,68.67,0.35,0.09,2.1,74.8,2.0,0.17,0.01,0.06
2729,3923,Midfielder,30,185,205,72.66,0.07,0.05,0.7,80.4,1.8,0.2,0.01,0.0
816,1173,Defender,25,183,159,75.91,0.02,0.02,0.2,89.2,1.2,0.1,0.0,0.01
1010,1494,Defender,25,187,69,75.19,0.04,0.06,0.3,83.0,1.6,0.26,0.0,0.03
1094,1613,Forward,22,181,98,62.48,0.31,0.08,1.6,80.7,0.2,0.04,0.0,0.06
3791,5343,Midfielder,38,173,313,87.78,0.03,0.04,0.2,87.4,0.5,0.3,0.02,0.02
702,1025,Midfielder,22,169,87,65.14,0.11,0.17,1.0,79.3,0.4,0.21,0.0,0.06
2691,3871,Midfielder,24,176,74,58.43,0.05,0.0,0.7,71.1,0.7,0.12,0.0,0.0
2450,3542,Defender,29,184,87,74.59,0.01,0.02,0.5,84.8,0.9,0.16,0.01,0.01
1131,1675,Midfielder,26,173,165,82.84,0.01,0.02,0.3,83.5,1.4,0.18,0.01,0.06
1967,2879,Goalkeeper,32,185,129,89.14,0.0,0.0,0.0,45.5,0.3,0.06,0.0,0.03
2969,4252,Goalkeeper,38,185,197,89.83,0.0,0.0,0.0,60.7,0.3,0.09,0.01,0.03
3521,4981,Midfielder,33,188,295,73.41,0.06,0.02,0.8,84.3,1.5,0.24,0.01,0.03
443,643,Midfielder,26,180,136,69.62,0.21,0.12,1.4,86.0,0.3,0.04,0.0,0.09
2344,3382,Goalkeeper,29,191,152,90.6,0.0,0.01,0.0,71.6,0.3,0.05,0.0,0.04
2046,2978,Midfielder,34,170,68,76.63,0.04,0.01,1.1,70.2,1.1,0.29,0.0,0.04
2319,3351,Midfielder,23,177,131,63.9,0.15,0.14,1.3,72.7,0.6,0.12,0.02,0.04
2918,4184,Forward,32,189,347,58.73,0.28,0.08,1.6,76.4,1.1,0.08,0.01,0.03
113,170,Midfielder,32,172,178,84.78,0.26,0.22,2.2,75.1,0.8,0.21,0.05,0.21
746,1090,Defender,26,184,134,77.05,0.04,0.01,0.4,86.9,2.3,0.23,0.04,0.02
1060,1565,Goalkeeper,28,193,192,89.18,0.0,0.01,0.0,71.4,0.3,0.04,0.01,0.02
39,55,Midfielder,24,184,69,61.68,0.03,0.03,0.6,77.6,0.9,0.14,0.0,0.0
293,422,Midfielder,31,175,129,69.64,0.04,0.02,0.4,85.4,0.3,0.33,0.05,0.02
992,1468,Defender,26,192,126,78.84,0.05,0.01,0.3,83.4,1.8,0.14,0.0,0.01
1429,2107,Forward,30,181,378,67.13,0.32,0.09,2.3,71.2,2.2,0.09,0.0,0.1
1894,2771,Midfielder,28,166,303,71.25,0.05,0.04,0.7,87.8,0.6,0.18,0.01,0.02
151,218,Midfielder,25,175,99,63.64,0.07,0.08,1.8,74.0,0.4,0.11,0.01,0.04
2305,3328,Forward,28,192,90,52.64,0.23,0.07,1.6,62.0,2.1,0.04,0.0,0.07
1993,2915,Defender,32,183,110,80.2,0.03,0.04,0.6,87.6,3.0,0.09,0.01,0.04
3430,4859,Midfielder,31,184,244,60.77,0.05,0.07,0.8,83.1,1.0,0.19,0.0,0.02
2402,3466,Midfielder,22,173,93,64.75,0.06,0.04,0.9,79.4,0.3,0.09,0.0,0.02
1926,2819,Midfielder,27,180,213,79.08,0.13,0.16,1.3,90.7,0.2,0.15,0.0,0.06
692,1010,Midfielder,30,178,102,61.35,0.1,0.1,1.3,78.5,0.3,0.18,0.02,0.06
2962,4243,Midfielder,25,168,72,51.44,0.03,0.14,0.8,84.5,0.0,0.04,0.0,0.01
2715,3903,Goalkeeper,27,192,157,89.85,0.0,0.0,0.0,75.2,0.4,0.02,0.01,0.06
1779,2602,Goalkeeper,22,193,69,90.0,0.0,0.0,0.0,80.5,0.2,0.09,0.0,0.04
1786,2615,Midfielder,22,178,77,33.68,0.1,0.04,0.9,77.5,0.4,0.13,0.0,0.04
2076,3020,Forward,33,191,208,60.53,0.19,0.09,1.8,61.7,3.6,0.13,0.0,0.05
2363,3408,Defender,32,185,294,88.0,0.05,0.02,0.8,78.8,3.9,0.16,0.01,0.04
2944,4220,Forward,30,191,115,75.16,0.27,0.09,1.9,74.5,1.5,0.07,0.01,0.08
1210,1787,Midfielder,22,179,111,62.83,0.01,0.09,0.6,88.6,0.3,0.26,0.01,0.01
697,1015,Defender,25,190,73,82.25,0.04,0.01,0.5,86.2,2.4,0.27,0.03,0.01
133,197,Midfielder,25,185,94,77.41,0.05,0.07,0.6,84.3,0.7,0.29,0.01,0.05
43,61,Midfielder,22,192,64,58.69,0.06,0.08,1.0,77.3,0.8,0.14,0.02,0.0
2567,3700,Defender,32,185,170,67.91,0.03,0.01,0.2,83.1,1.4,0.09,0.02,0.01
973,1439,Forward,19,174,78,50.83,0.28,0.06,1.7,73.1,0.7,0.18,0.01,0.06
3636,5148,Defender,27,178,94,72.0,0.01,0.03,0.4,87.3,1.3,0.09,0.0,0.01
97,146,Goalkeeper,22,192,102,89.56,0.0,0.0,0.0,76.7,0.2,0.03,0.0,0.02
1169,1722,Midfielder,27,176,335,74.68,0.11,0.11,1.3,83.1,0.8,0.13,0.0,0.04
572,834,Defender,31,188,105,81.91,0.02,0.02,0.4,82.9,1.5,0.17,0.01,0.0
1282,1893,Defender,31,194,365,81.36,0.06,0.04,0.9,83.1,3.3,0.22,0.01,0.05
1133,1677,Defender,23,191,65,78.46,0.05,0.02,0.5,88.3,1.9,0.22,0.02,0.0
7,12,Midfielder,23,185,108,77.19,0.05,0.01,1.0,86.1,0.7,0.31,0.02,0.01
1418,2093,Forward,28,189,152,58.74,0.39,0.08,2.0,68.0,2.6,0.14,0.01,0.09
1820,2665,Defender,29,184,163,78.36,0.03,0.01,0.3,82.7,2.0,0.12,0.01,0.03
650,949,Midfielder,36,178,157,72.15,0.1,0.11,1.0,79.9,0.7,0.2,0.0,0.04
86,125,Defender,28,195,370,84.68,0.04,0.03,0.4,88.4,2.4,0.13,0.0,0.01
2674,3844,Defender,28,188,180,86.61,0.04,0.02,0.4,80.8,3.5,0.12,0.01,0.02
236,323,Defender,24,191,167,77.48,0.07,0.07,0.7,84.9,2.1,0.15,0.01,0.02
666,976,Defender,23,191,118,73.66,0.03,0.01,0.5,86.5,2.1,0.18,0.02,0.03
458,668,Defender,26,187,201,88.18,0.04,0.01,0.4,87.0,1.6,0.17,0.01,0.02
409,588,Goalkeeper,34,187,501,90.0,0.0,0.01,0.0,68.4,0.3,0.02,0.0,0.04
3180,4535,Midfielder,23,179,106,56.56,0.11,0.12,1.1,72.7,0.9,0.07,0.0,0.06
1920,2808,Midfielder,30,175,189,72.17,0.05,0.03,0.8,75.0,0.7,0.11,0.0,0.02
1398,2068,Midfielder,30,173,281,59.26,0.18,0.12,1.7,81.0,0.1,0.07,0.0,0.07
2292,3314,Forward,26,190,143,57.7,0.2,0.06,1.4,55.9,2.4,0.13,0.01,0.03
2908,4167,Midfielder,28,177,227,63.27,0.21,0.1,1.7,78.9,0.4,0.1,0.0,0.06
3108,4440,Midfielder,35,184,262,69.16,0.2,0.19,1.6,74.2,1.1,0.11,0.0,0.07
971,1437,Midfielder,23,185,116,57.71,0.05,0.06,0.6,85.6,1.2,0.16,0.0,0.04
450,652,Midfielder,27,180,142,48.52,0.11,0.07,1.0,74.0,1.0,0.1,0.0,0.02
1176,1733,Midfielder,30,189,335,62.38,0.12,0.11,1.9,85.7,0.8,0.1,0.0,0.04
2738,3933,Goalkeeper,30,203,67,90.46,0.0,0.01,0.0,67.9,0.3,0.01,0.0,0.04
986,1462,Midfielder,32,180,350,82.41,0.08,0.09,0.7,87.2,0.7,0.16,0.01,0.03
2739,3934,Midfielder,27,185,106,75.45,0.04,0.07,0.7,82.6,0.5,0.08,0.0,0.0
1104,1633,Goalkeeper,32,188,267,88.11,0.0,0.0,0.0,57.4,0.2,0.05,0.01,0.06
2057,2995,Defender,25,188,109,83.12,0.04,0.03,0.4,86.2,1.6,0.12,0.0,0.03
1849,2717,Defender,18,182,66,80.76,0.05,0.11,0.3,91.4,1.7,0.18,0.0,0.0
2264,3276,Midfielder,25,178,143,70.29,0.11,0.1,1.2,82.5,0.6,0.19,0.01,0.03
102,152,Midfielder,19,180,82,41.27,0.09,0.09,1.1,78.7,0.2,0.01,0.0,0.01
2175,3163,Midfielder,26,181,100,74.53,0.07,0.09,0.9,81.0,0.6,0.09,0.03,0.03
177,252,Defender,27,193,190,85.14,0.05,0.01,0.4,78.9,2.4,0.23,0.01,0.04
1211,1788,Midfielder,25,185,254,70.34,0.06,0.07,0.8,87.7,0.5,0.17,0.0,0.03
522,767,Goalkeeper,19,188,53,90.0,0.0,0.0,0.0,71.0,0.2,0.09,0.0,0.0
2047,2979,Goalkeeper,38,197,296,89.7,0.0,0.0,0.0,43.5,0.3,0.07,0.0,0.07
681,997,Defender,38,186,235,87.63,0.04,0.01,0.4,84.3,1.8,0.11,0.01,0.01
1907,2790,Midfielder,23,182,135,65.55,0.07,0.05,0.9,76.0,0.8,0.19,0.0,0.04
3046,4364,Midfielder,22,178,108,76.61,0.06,0.07,1.1,84.6,0.4,0.28,0.01,0.04
1489,2193,Midfielder,34,183,150,76.15,0.03,0.13,0.6,82.7,0.5,0.31,0.01,0.02
2419,3497,Forward,25,190,114,41.18,0.19,0.03,1.2,64.5,0.9,0.08,0.0,0.01
241,337,Midfielder,21,185,124,41.1,0.1,0.11,0.8,83.8,0.5,0.06,0.0,0.02
72,101,Defender,33,182,419,87.15,0.06,0.01,0.7,81.0,2.3,0.26,0.01,0.03
260,371,Midfielder,28,182,235,63.97,0.03,0.01,0.9,86.8,0.7,0.24,0.02,0.03
396,560,Midfielder,26,178,236,72.94,0.21,0.14,1.9,83.6,0.5,0.06,0.0,0.12
94,141,Defender,32,186,314,84.81,0.1,0.02,0.7,84.7,3.8,0.15,0.01,0.04
1002,1482,Defender,26,191,97,75.16,0.01,0.03,0.3,87.8,1.6,0.23,0.0,0.0
117,177,Midfielder,32,173,371,66.34,0.04,0.07,0.6,85.5,0.5,0.19,0.01,0.01
1916,2804,Goalkeeper,32,190,181,89.58,0.0,0.01,0.0,58.5,0.2,0.09,0.01,0.01
2816,4041,Midfielder,29,187,223,68.75,0.05,0.09,1.4,76.5,0.9,0.15,0.0,0.04
366,514,Midfielder,24,188,108,67.16,0.03,0.1,0.6,82.2,0.6,0.09,0.0,0.01
277,402,Midfielder,21,187,56,64.89,0.09,0.02,1.2,75.6,0.6,0.07,0.02,0.0
1590,2313,Midfielder,26,181,56,64.54,0.04,0.05,0.4,89.5,0.1,0.2,0.0,0.0
1402,2074,Midfielder,28,174,216,53.16,0.04,0.1,1.0,87.8,0.1,0.09,0.0,0.01
270,389,Midfielder,31,175,148,68.9,0.07,0.06,0.9,73.3,0.4,0.11,0.0,0.03
137,201,Defender,23,185,157,76.69,0.08,0.06,0.5,89.1,1.7,0.13,0.01,0.03
2794,4012,Forward,21,182,77,39.6,0.06,0.04,1.0,73.8,0.5,0.13,0.0,0.01
997,1475,Midfielder,25,188,103,51.49,0.13,0.03,1.1,76.9,1.2,0.23,0.0,0.03
2928,4198,Defender,32,191,202,87.6,0.06,0.0,0.5,83.9,2.1,0.2,0.01,0.04
1715,2497,Defender,33,185,296,76.53,0.02,0.01,0.2,86.5,1.4,0.26,0.01,0.02
330,474,Defender,24,185,150,81.06,0.02,0.01,0.4,82.6,1.5,0.25,0.02,0.01
472,691,Defender,24,190,99,74.88,0.04,0.01,0.4,88.8,0.9,0.19,0.01,0.04
847,1231,Defender,33,186,175,79.1,0.03,0.02,0.3,78.4,1.8,0.18,0.02,0.01
2101,3054,Midfielder,23,176,96,62.1,0.03,0.06,0.9,80.6,0.5,0.21,0.0,0.06
1516,2222,Midfielder,24,176,54,67.04,0.0,0.04,0.6,80.9,0.6,0.11,0.02,0.02
2867,4104,Midfielder,34,178,501,70.33,0.13,0.2,1.5,86.8,0.5,0.19,0.01,0.07
196,275,Defender,28,188,71,78.45,0.06,0.0,0.5,88.0,2.1,0.15,0.01,0.01
3812,5373,Midfielder,30,173,106,63.08,0.12,0.12,1.5,68.8,0.2,0.19,0.0,0.03
1303,1924,Defender,26,183,107,84.55,0.02,0.01,0.5,83.4,3.1,0.16,0.01,0.05
2162,3146,Midfielder,31,178,149,70.44,0.16,0.1,1.3,69.5,0.5,0.16,0.01,0.03
224,307,Forward,25,193,66,40.61,0.12,0.05,1.3,68.9,2.0,0.09,0.02,0.05
832,1205,Defender,29,185,322,80.25,0.04,0.03,0.6,82.9,2.4,0.24,0.0,0.05
130,194,Midfielder,24,184,208,52.82,0.19,0.14,1.6,82.5,0.2,0.03,0.0,0.08
3415,4839,Defender,30,190,85,83.24,0.07,0.0,0.7,84.7,3.1,0.24,0.0,0.05
2328,3360,Midfielder,23,180,133,63.98,0.17,0.09,1.5,84.2,0.8,0.08,0.0,0.03
1623,2363,Defender,24,187,60,65.38,0.02,0.02,0.2,81.2,0.9,0.1,0.0,0.0
3200,4564,Defender,30,183,155,83.92,0.02,0.06,0.4,74.4,1.1,0.2,0.02,0.03
3282,4661,Midfielder,23,173,110,47.07,0.05,0.07,0.4,79.6,0.3,0.22,0.0,0.01
2984,4275,Goalkeeper,34,191,86,86.56,0.0,0.01,0.0,57.7,0.3,0.02,0.01,0.01
1336,1981,Goalkeeper,25,188,53,92.32,0.0,0.0,0.0,77.1,0.3,0.04,0.0,0.04
1724,2515,Defender,25,187,144,73.53,0.03,0.01,0.3,86.3,1.7,0.23,0.04,0.03
738,1080,Midfielder,25,182,177,61.67,0.05,0.01,0.7,82.5,0.5,0.18,0.02,0.02
455,661,Midfielder,20,177,67,57.12,0.09,0.22,1.5,73.2,1.0,0.12,0.01,0.13
2737,3932,Midfielder,27,173,70,66.39,0.06,0.09,0.8,85.8,0.6,0.19,0.0,0.0
506,735,Defender,36,192,461,85.56,0.05,0.03,0.5,87.5,2.2,0.11,0.01,0.04
1995,2917,Goalkeeper,26,188,129,89.73,0.0,0.0,0.0,74.0,0.4,0.03,0.0,0.03
251,349,Midfielder,22,173,158,57.35,0.13,0.16,1.3,84.8,0.1,0.04,0.01,0.13
2945,4221,Midfielder,27,179,232,71.88,0.06,0.07,0.9,84.6,0.9,0.13,0.01,0.03
